network,station,location,channel,longitude,latitude,elevation_m,response
CI,CCC,,BHE,-117.36453,35.52495,670.0,627372967.51
CI,CCC,,BHN,-117.36453,35.52495,670.0,627372967.51
CI,CCC,,BHZ,-117.36453,35.52495,670.0,627372967.51
CI,CCC,,HHE,-117.36453,35.52495,670.0,627368612.81
CI,CCC,,HHN,-117.36453,35.52495,670.0,627368612.81
CI,CCC,,HHZ,-117.36453,35.52495,670.0,627368612.81
CI,CCC,,HNE,-117.36453,35.52495,670.0,213979.64
CI,CCC,,HNN,-117.36453,35.52495,670.0,214321.79
CI,CCC,,HNZ,-117.36453,35.52495,670.0,213808.57
CI,JRC2,,BHE,-117.80885,35.98249,1469.0,784872189.89
CI,JRC2,,BHN,-117.80885,35.98249,1469.0,784872189.89
CI,JRC2,,BHZ,-117.80885,35.98249,1469.0,790484146.3
CI,JRC2,,HHE,-117.80885,35.98249,1469.0,784866741.96
CI,JRC2,,HHN,-117.80885,35.98249,1469.0,784866741.96
CI,JRC2,,HHZ,-117.80885,35.98249,1469.0,790478659.42
CI,JRC2,,HNE,-117.80885,35.98249,1469.0,213808.57
CI,JRC2,,HNN,-117.80885,35.98249,1469.0,213945.43
CI,JRC2,,HNZ,-117.80885,35.98249,1469.0,214184.93
CI,LRL,,BHE,-117.68212,35.47954,1340.0,632496000.0
CI,LRL,,BHN,-117.68212,35.47954,1340.0,634185000.0
CI,LRL,,BHZ,-117.68212,35.47954,1340.0,631652000.0
CI,LRL,,HHE,-117.68212,35.47954,1340.0,629025000.0
CI,LRL,,HHN,-117.68212,35.47954,1340.0,630705000.0
CI,LRL,,HHZ,-117.68212,35.47954,1340.0,628185000.0
CI,LRL,,HNE,-117.68212,35.47954,1340.0,214001.0
CI,LRL,2C,HNE,-117.68212,35.47954,1340.0,213866.0
CI,LRL,,HNN,-117.68212,35.47954,1340.0,213916.0
CI,LRL,2C,HNN,-117.68212,35.47954,1340.0,213781.0
CI,LRL,,HNZ,-117.68212,35.47954,1340.0,213445.0
CI,LRL,2C,HNZ,-117.68212,35.47954,1340.0,213310.0
CI,TOW2,,BHE,-117.76488,35.80856,685.0,626915000.0
CI,TOW2,,BHN,-117.76488,35.80856,685.0,626915000.0
CI,TOW2,,BHZ,-117.76488,35.80856,685.0,626843000.0
CI,TOW2,,HHE,-117.76488,35.80856,685.0,626911000.0
CI,TOW2,,HHN,-117.76488,35.80856,685.0,626911000.0
CI,TOW2,,HHZ,-117.76488,35.80856,685.0,626839000.0
CI,TOW2,,HNE,-117.76488,35.80856,685.0,213800.0
CI,TOW2,,HNN,-117.76488,35.80856,685.0,214142.0
CI,TOW2,,HNZ,-117.76488,35.80856,685.0,214356.0
CI,WCS2,,BHE,-117.76526,36.02521,1143.0,626915000.0
CI,WCS2,,BHN,-117.76526,36.02521,1143.0,626915000.0
CI,WCS2,,BHZ,-117.76526,36.02521,1143.0,626843000.0
CI,WCS2,,HHE,-117.76526,36.02521,1143.0,626911000.0
CI,WCS2,,HHN,-117.76526,36.02521,1143.0,626911000.0
CI,WCS2,,HHZ,-117.76526,36.02521,1143.0,626839000.0
CI,WCS2,,HNE,-117.76526,36.02521,1143.0,213757.0
CI,WCS2,,HNN,-117.76526,36.02521,1143.0,213330.0
CI,WCS2,,HNZ,-117.76526,36.02521,1143.0,213415.0
